,completeness,homogeneity,mutual_info,rand,v_measure
3:7-0.5,0.95,0.8,0.79,0.75,0.87
3:7-0.55,0.95,0.95,0.94,0.95,0.95
3:7-0.6,0.89,0.98,0.87,0.9,0.93
3:7-0.65,0.84,0.99,0.82,0.88,0.91
4:6-0.45,0.94,0.48,0.48,0.34,0.64
4:6-0.5,0.95,0.82,0.81,0.77,0.88
4:6-0.55,0.95,0.96,0.94,0.96,0.95
4:6-0.6,0.88,0.98,0.87,0.9,0.93
4:6-0.65,0.83,0.99,0.81,0.84,0.9
5:5-0.45,0.95,0.56,0.55,0.39,0.7
5:5-0.5,0.95,0.85,0.84,0.78,0.89
5:5-0.55,0.95,0.96,0.94,0.96,0.96
5:5-0.6,0.88,0.98,0.87,0.9,0.93
5:5-0.65,0.83,0.99,0.81,0.84,0.9
6:4-0.45,0.95,0.67,0.66,0.59,0.79
6:4-0.5,0.95,0.91,0.9,0.89,0.93
6:4-0.55,0.95,0.97,0.94,0.96,0.96
6:4-0.6,0.89,0.98,0.88,0.92,0.93
6:4-0.65,0.83,0.99,0.81,0.84,0.9
7:3-0.45,0.95,0.71,0.7,0.54,0.81
7:3-0.5,0.95,0.93,0.92,0.93,0.94
7:3-0.55,0.94,0.97,0.94,0.96,0.96
7:3-0.6,0.89,0.98,0.88,0.92,0.93
7:3-0.65,0.83,0.99,0.8,0.84,0.9
8:2-0.45,0.96,0.75,0.74,0.66,0.84
8:2-0.5,0.95,0.92,0.91,0.92,0.94
8:2-0.55,0.94,0.97,0.93,0.96,0.95
8:2-0.6,0.89,0.99,0.88,0.92,0.93
8:2-0.65,0.83,0.99,0.8,0.84,0.9
9:1-0.45,0.96,0.78,0.77,0.7,0.86
9:1-0.5,0.95,0.94,0.94,0.95,0.95
9:1-0.55,0.94,0.97,0.93,0.95,0.95
9:1-0.6,0.89,0.98,0.88,0.92,0.93
9:1-0.65,0.83,0.99,0.8,0.84,0.9
min
3:7-0.45,0.31,0.0,0.0,0.0,0.0
3:7-0.5,0.89,0.62,0.6,0.37,0.74
3:7-0.55,0.88,0.89,0.87,0.76,0.88
3:7-0.6,0.79,0.96,0.76,0.74,0.87
3:7-0.65,0.72,0.97,0.66,0.61,0.83
4:6-0.45,0.84,0.2,0.19,0.08,0.32
4:6-0.5,0.89,0.69,0.67,0.49,0.78
4:6-0.55,0.88,0.91,0.87,0.85,0.9
4:6-0.6,0.78,0.96,0.74,0.69,0.86
4:6-0.65,0.71,0.97,0.65,0.58,0.82
5:5-0.45,0.86,0.32,0.31,0.14,0.47
5:5-0.5,0.89,0.76,0.75,0.61,0.82
5:5-0.55,0.88,0.93,0.86,0.85,0.9
5:5-0.6,0.77,0.96,0.73,0.69,0.86
5:5-0.65,0.71,0.97,0.65,0.58,0.82
6:4-0.45,0.89,0.42,0.41,0.19,0.57
6:4-0.5,0.89,0.81,0.79,0.62,0.85
6:4-0.55,0.87,0.93,0.85,0.84,0.9
6:4-0.6,0.78,0.97,0.74,0.71,0.86
6:4-0.65,0.71,0.97,0.65,0.58,0.82
7:3-0.45,0.89,0.49,0.47,0.24,0.63
7:3-0.5,0.88,0.83,0.82,0.69,0.86
7:3-0.55,0.86,0.93,0.85,0.84,0.9
7:3-0.6,0.77,0.96,0.73,0.71,0.86
7:3-0.65,0.71,0.97,0.65,0.58,0.82
8:2-0.45,0.87,0.56,0.54,0.29,0.69
8:2-0.5,0.88,0.85,0.84,0.76,0.86
8:2-0.55,0.86,0.94,0.84,0.84,0.9
8:2-0.6,0.78,0.96,0.74,0.72,0.86
8:2-0.65,0.71,0.97,0.65,0.58,0.82
9:1-0.45,0.87,0.64,0.63,0.42,0.75
9:1-0.5,0.89,0.86,0.85,0.76,0.88
9:1-0.55,0.86,0.94,0.84,0.84,0.9
9:1-0.6,0.79,0.96,0.75,0.74,0.87
9:1-0.65,0.71,0.97,0.65,0.58,0.82
std
3:7-0.45,0.2,0.09,0.09,0.05,0.14
3:7-0.5,0.02,0.04,0.04,0.08,0.03
3:7-0.55,0.02,0.02,0.02,0.04,0.01
3:7-0.6,0.02,0.01,0.03,0.04,0.02
3:7-0.65,0.03,0.01,0.03,0.06,0.02
4:6-0.45,0.03,0.07,0.07,0.06,0.08
4:6-0.5,0.02,0.03,0.03,0.07,0.02
4:6-0.55,0.02,0.01,0.02,0.02,0.01
4:6-0.6,0.02,0.01,0.03,0.04,0.02
4:6-0.65,0.03,0.0,0.03,0.06,0.02
5:5-0.45,0.02,0.06,0.06,0.06,0.06
5:5-0.5,0.02,0.02,0.02,0.05,0.02
5:5-0.55,0.02,0.01,0.02,0.02,0.01
5:5-0.6,0.02,0.01,0.03,0.04,0.02
5:5-0.65,0.03,0.0,0.03,0.06,0.02
6:4-0.45,0.01,0.06,0.06,0.09,0.05
6:4-0.5,0.02,0.02,0.03,0.06,0.02
6:4-0.55,0.02,0.01,0.02,0.03,0.01
6:4-0.6,0.02,0.0,0.03,0.04,0.02
6:4-0.65,0.03,0.0,0.03,0.06,0.02
7:3-0.45,0.02,0.06,0.06,0.09,0.05
7:3-0.5,0.02,0.02,0.03,0.05,0.02
7:3-0.55,0.02,0.01,0.02,0.03,0.01
7:3-0.6,0.02,0.01,0.03,0.04,0.01
7:3-0.65,0.03,0.0,0.03,0.06,0.02
8:2-0.45,0.02,0.04,0.04,0.08,0.03
8:2-0.5,0.02,0.02,0.02,0.04,0.02
8:2-0.55,0.02,0.01,0.02,0.02,0.01
8:2-0.6,0.02,0.01,0.03,0.04,0.02
8:2-0.65,0.03,0.0,0.03,0.06,0.02
9:1-0.45,0.02,0.04,0.04,0.07,0.03
9:1-0.5,0.01,0.02,0.02,0.04,0.02
9:1-0.55,0.02,0.01,0.02,0.03,0.01
9:1-0.6,0.02,0.01,0.03,0.04,0.01
9:1-0.65,0.03,0.0,0.03,0.06,0.02
test finished in 37903.85 seconds
