Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\宗廷\AppData\Local\Temp\jieba.cache
Loading model cost 1.091 seconds.
Prefix dict has been built succesfully.
spend 5s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
0.56 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.91', 'rand': '0.81', 'mutual_info': '0.79'}
0.57 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.91', 'rand': '0.81', 'mutual_info': '0.79'}
0.58 {'v_measure': '0.93', 'homogeneity': '0.96', 'completeness': '0.90', 'rand': '0.78', 'mutual_info': '0.76'}
0.59 {'v_measure': '0.94', 'homogeneity': '0.98', 'completeness': '0.90', 'rand': '0.81', 'mutual_info': '0.74'}
0.60 {'v_measure': '0.95', 'homogeneity': '0.99', 'completeness': '0.91', 'rand': '0.83', 'mutual_info': '0.77'}
0.61 {'v_measure': '0.95', 'homogeneity': '0.99', 'completeness': '0.91', 'rand': '0.83', 'mutual_info': '0.77'}
{'v_measure': ('0.95', '0.61'), 'completeness': ('0.95', '0.52'), 'homogeneity': ('0.99', '0.61'), 'rand': ('0.83', '0.61'), 'mutual_info': ('0.85', '0.54')}
0.52 {'v_measure': '0.86', 'homogeneity': '0.84', 'completeness': '0.88', 'rand': '0.57', 'mutual_info': '0.69'}
0.53 {'v_measure': '0.89', 'homogeneity': '0.89', 'completeness': '0.89', 'rand': '0.64', 'mutual_info': '0.76'}
0.54 {'v_measure': '0.90', 'homogeneity': '0.92', 'completeness': '0.89', 'rand': '0.70', 'mutual_info': '0.75'}
0.55 {'v_measure': '0.90', 'homogeneity': '0.92', 'completeness': '0.88', 'rand': '0.70', 'mutual_info': '0.74'}
0.56 {'v_measure': '0.91', 'homogeneity': '0.94', 'completeness': '0.87', 'rand': '0.71', 'mutual_info': '0.71'}
0.57 {'v_measure': '0.91', 'homogeneity': '0.94', 'completeness': '0.87', 'rand': '0.71', 'mutual_info': '0.71'}
0.58 {'v_measure': '0.91', 'homogeneity': '0.94', 'completeness': '0.87', 'rand': '0.71', 'mutual_info': '0.71'}
0.59 {'v_measure': '0.91', 'homogeneity': '0.95', 'completeness': '0.87', 'rand': '0.71', 'mutual_info': '0.71'}
0.60 {'v_measure': '0.91', 'homogeneity': '0.96', 'completeness': '0.87', 'rand': '0.71', 'mutual_info': '0.69'}
0.61 {'v_measure': '0.91', 'homogeneity': '0.97', 'completeness': '0.86', 'rand': '0.71', 'mutual_info': '0.66'}
